"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"SUPREMEIND","3,575.95","3,601.50","3,501.50","3,575.95","3,503.55","-","-72.40","-2.02","1,03,946","36.98","6,460.00","3,452.05","0.84","-14.34"
"TATAELXSI","5,695.65","5,721.55","5,574.00","5,695.65","5,579.95","-","-115.70","-2.03","1,07,352","60.51","9,080.00","5,574.00","-7.48","-25.46"
"NHPC","76.35","76.99","73.51","76.01","74.41","-","-1.60","-2.10","1,34,11,837","100.44","118.40","71.00","1.66","-15.73"
"MOTHERSON","124.99","125.49","122.55","125.64","122.97","-","-2.67","-2.13","1,76,76,098","218.39","216.99","107.50","-8.63","8.92"
"IRCTC","710.35","714.70","694.50","710.35","695.25","-","-15.10","-2.13","8,84,571","62.07","1,138.90","695.00","-5.00","-25.44"
"GRASIM","2,373.00","2,379.30","2,317.10","2,379.30","2,328.65","-","-50.65","-2.13","6,70,193","156.79","2,877.75","2,128.60","-3.20","7.91"
"HEROMOTOCO","3,808.15","3,810.30","3,725.25","3,828.25","3,745.15","-","-83.10","-2.17","5,59,474","210.15","6,246.25","3,725.25","-4.67","-13.58"
"OIL","373.90","376.40","362.15","372.40","364.25","-","-8.15","-2.19","18,35,076","67.39","767.90","342.00","-8.42","-35.16"
"JSWENERGY","474.50","476.25","456.05","467.25","457.00","-","-10.25","-2.19","24,22,150","112.90","804.90","418.75","-12.56","-10.46"
"KPITTECH","1,292.90","1,295.45","1,253.95","1,285.50","1,257.20","-","-28.30","-2.20","2,87,742","36.48","1,928.70","1,223.25","-1.23","-18.64"
"APOLLOTYRE","398.95","400.20","389.20","398.95","389.75","-","-9.20","-2.31","5,33,128","20.98","584.90","389.20","-4.91","-22.99"
"CONCOR","674.00","678.30","660.05","675.95","660.20","-","-15.75","-2.33","7,60,557","50.89","1,180.00","655.80","-8.28","-30.46"
"TATATECH","725.00","729.90","712.30","731.15","714.00","-","-17.15","-2.35","4,20,858","30.28","1,161.00","711.20","-3.80","-32.03"
